index,brand,title,price
1,联想（lenovo）,【同款低价】联想V14 14英寸2020款全新学生本 商务办公轻薄便携手提娱乐商用学生网课,3099.00
2,联想（lenovo）,联想(Lenovo)小新Air15轻薄本英特尔酷睿i5 15.6英寸全面屏,5999.00
3,联想（lenovo）,联想(Lenovo)拯救者R7000 15.6英寸游戏,6299.00
4,联想（lenovo）,联想(Lenovo)拯救者R7000P 15.6英寸游戏,7999.00
5,联想（lenovo）,联想(Lenovo)拯救者Y7000P英特尔酷睿i7 15.6英寸游戏,8999.00
6,联想（lenovo）,联想(Lenovo)拯救者R7000 15.6英寸游戏,6199.00
7,联想（lenovo）,【全新上市】联想2020款丨满血锐龙芯丨全高清屏丨可组双硬盘,3099.00
8,联想（lenovo）,金属超轻薄,5499.00
9,联想（lenovo）,联想(Lenovo)小新Pro13锐龙版轻薄本 13.3英寸全面屏办公,4999.00
10,联想（lenovo）,联想(Lenovo)YOGA 14s 英特尔Evo平台 14英寸全面屏,5899.00
11,联想（lenovo）,联想小新AIR14 锐龙版R5六核 2021 高色域手提学生轻薄本办公商务超薄,4199.00
12,联想（lenovo）,联想(Lenovo)小新Air14锐龙版14英寸全面屏轻薄,4499.00
13,联想（lenovo）,联想拯救者Y9000X 15.6英寸酷睿i5/i7标压轻薄游戏,5799.00
14,联想（lenovo）,联想(Lenovo)YOGA 14s 英特尔Evo平台14英寸全面屏超轻薄,5999.00
15,联想（lenovo）,联想（Lenovo）小新Air15 2021款15.6英寸 全面屏超轻薄,5466.00
16,联想（lenovo）,联想(Lenovo)YOGA 13s 英特尔Evo平台 13.3英寸全面屏轻薄,5799.00
17,联想（lenovo）,联想(Lenovo)小新Air14 2021款超轻薄,5299.00
18,联想（lenovo）,联想威6 2021款十一代酷睿i7/i5 15.6英寸超薄本设计商务办公全面屏学生轻薄手提,6799.00
19,联想（lenovo）,联想ideapad14S 2021款酷睿i3/i5,4799.00
20,联想（lenovo）,"	
联想（Lenovo）威6 2020款 英特尔酷睿 i5 15.6英寸窄边框轻薄",4599.00
21,联想（lenovo）,联想小新Air14锐龙版2021款R5,4299.00
